DATE,MAJOR,NUM_STUDENTS,CHANGE_IN_CREDITS_ATTEMPTED
2007-12-15,AAAF,2,30.0
2008-12-15,AAAF,10,122.0
2009-05-15,AAAF,17,78.0
2009-12-15,AAAF,18,29.0
2010-05-15,AAAF,32,196.0
2010-12-15,AAAF,49,306.0
2011-05-15,AAAF,46,-55.0
2011-12-15,AAAF,79,512.5
2012-05-15,AAAF,93,165.0
2012-12-15,AAAF,97,181.5
2013-05-15,AAAF,98,-76.0
2013-12-15,AAAF,105,125.0
2014-05-15,AAAF,113,147.0
2014-12-15,AAAF,135,358.0
2015-05-15,AAAF,158,393.0
2015-12-15,AAAF,172,193.5
2016-05-15,AAAF,199,460.0
2016-12-15,AAAF,157,-708.5
2017-05-15,AAAF,173,189.0
2008-12-15,ABCL,7,87.0
2009-05-15,ABCL,7,-15.0
2009-12-15,ABCL,3,-36.0
2010-05-15,ABCL,5,0.0
2010-12-15,ABCL,5,12.0
2011-05-15,ABCL,6,0.0
2011-12-15,ABCL,4,-9.0
2012-05-15,ABCL,3,-8.0
2012-12-15,ABCL,4,14.0
2013-05-15,ABCL,4,-6.0
2008-05-15,ABED,1,0.0
2003-05-15,ABIO,2,3.0
2003-12-15,ABIO,5,36.0
2004-05-15,ABIO,5,12.0
2004-12-15,ABIO,4,-24.0
2005-05-15,ABIO,7,30.0
2005-12-15,ABIO,6,-3.0
2006-05-15,ABIO,6,-18.0
2006-12-15,ABIO,4,-9.0
2007-05-15,ABIO,9,36.0
2007-12-15,ABIO,14,12.0
2008-05-15,ABIO,12,0.0
2008-12-15,ABIO,5,-60.0
2009-05-15,ABIO,4,6.0
2009-12-15,ABIO,2,-9.0
2010-05-15,ABIO,3,9.0
2010-12-15,ABIO,1,-12.0
2011-05-15,ABIO,2,12.0
2011-12-15,ABIO,1,-12.0
2012-05-15,ABIO,2,12.0
2012-12-15,ABIO,4,10.0
2013-05-15,ABIO,3,-13.0
2013-12-15,ABIO,2,-6.0
2014-05-15,ABIO,2,0.0
2014-12-15,ABIO,1,-3.0
2015-05-15,ABIO,1,0.0
2016-05-15,ABIO,1,-3.0
2016-12-15,ABIO,2,8.0
2017-05-15,ABIO,3,14.0
2003-12-15,ABTT,1,15.0
2004-05-15,ABTT,1,-3.0
2004-12-15,ABTT,2,3.0
2005-05-15,ABTT,2,3.0
2005-12-15,ABTT,3,-3.0
2006-05-15,ABTT,3,0.0
2006-12-15,ABTT,2,-6.0
2007-05-15,ABTT,2,-3.0
2010-12-15,ABTT,1,6.0
2011-05-15,ABTT,1,0.0
2011-12-15,ABTT,1,-6.0
2012-05-15,ABTT,1,-6.0
1997-12-15,ACCT,239,3302.0
1998-05-15,ACCT,243,91.0
1998-12-15,ACCT,230,-208.5
1999-05-15,ACCT,262,334.5
1999-12-15,ACCT,236,-154.0
2000-05-15,ACCT,243,-128.0
2000-12-15,ACCT,204,-355.0
2001-05-15,ACCT,209,-74.5
2001-12-15,ACCT,185,-184.5
2002-05-15,ACCT,214,315.0
2002-12-15,ACCT,209,11.0
2003-05-15,ACCT,222,8.0
2003-12-15,ACCT,223,183.0
2004-05-15,ACCT,241,73.0
2004-12-15,ACCT,258,502.0
2005-05-15,ACCT,281,60.0
2005-12-15,ACCT,258,-98.5
2006-05-15,ACCT,278,82.5
2006-12-15,ACCT,245,-280.0
2007-05-15,ACCT,292,510.0
2007-12-15,ACCT,225,-744.0
2008-05-15,ACCT,244,201.0
2008-12-15,ACCT,249,123.0
2009-05-15,ACCT,257,43.0
2009-12-15,ACCT,239,-139.0
2010-05-15,ACCT,316,1103.0
2010-12-15,ACCT,243,-1046.0
2011-05-15,ACCT,252,78.5
2011-12-15,ACCT,23,-3254.5
2012-05-15,ACCT,1,-336.0
2012-12-15,ACCT,1,-1.0
2013-05-15,ACCT,1,-1.0
2013-12-15,ACCT,3,33.0
2014-05-15,ACCT,2,-24.0
2014-12-15,ACCT,3,24.0
2015-05-15,ACCT,4,1.0
2003-12-15,ACHE,1,15.0
2004-05-15,ACHE,3,9.0
2004-12-15,ACHE,3,12.0
2005-05-15,ACHE,3,-3.0
2007-05-15,ACHE,1,-30.0
2007-12-15,ACHE,1,0.0
2008-05-15,ACHE,1,3.0
2008-12-15,ACHE,1,-3.0
2009-05-15,ACHE,1,3.0
2009-12-15,ACHE,1,9.0
2010-05-15,ACHE,1,-3.0
2010-12-15,ACHE,1,-9.0
2011-12-15,ACHE,2,18.0
2012-05-15,ACHE,1,-12.0
2014-05-15,ACHE,1,3.0
2014-12-15,ACHE,2,9.0
2015-05-15,ACHE,2,-6.0
2015-12-15,ACHE,1,-9.0
2016-05-15,ACHE,2,6.0
2016-12-15,ACHE,1,-12.0
2009-12-15,ACIS,2,27.0
2010-05-15,ACIS,4,31.0
2010-12-15,ACIS,7,52.0
2011-05-15,ACIS,7,1.0
2011-12-15,ACIS,6,-17.0
2012-05-15,ACIS,6,-16.0
2012-12-15,ACIS,3,-33.0
